Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,Fund_Year,Category
Sunstone Eduversity,2011,Gurgaon,education,sunstone eduversity is a one-of-its-kind business school operating in an asset-light model since 2011.,"Ashish Munjal, Piyush Nangru",Westbridge Capital,28000000.0,Series B,2021,education and training
Ozonetel,2007,Hyderabad,telecommunications,ozonetel is leading cloud telephony solution provider.,"Csn Murthy, Atul Sharma",Stakeboat Capital,5000000.0,Series A,2021,technology
Coinswitch Kuber,2017,Bangalore,crypto,"coinswitch kuber is the largest crypto trading platform in india with a user base of 10m+, in just 15 months and growing every second.","Ashish Singhal, Govind Soni, Vimal Sagar Tiwari","Coinbase Ventures, Andreessen Horowitz",260000000.0,Series C,2021,technology
Pazcare,2020,Bangalore,insurance,paz care is india's leading employee benefits & health insurance platform,"Sanchit Malik, Manish Mishra","Beenext, 3One4 Capital",3500000.0,Seed,2021,financial services
Kwh Bikes,2020,Bangalore,automotive,building india’s strongest and smartest electric 2 wheelers,"Siddharth Janghu, Kartik Gupta, Anupriya","Let’S Venture, Better Capital",2000000.0,Seed,2021,mobility and transportation
Ibsfintech,2006,Bangalore,information technology services,"driving digitization & automation of cash & liquidity, risk, treasury & trade finance functions of the corporate.","C M Grover, Tm Manjunath",Undisclosed,1000000.0,Pre-Series A,2021,technology
Leadsquared,2011,Bangalore,computer software,"leadsquared is a marketing automation and sales execution platform that helps businesses increase their closures, manage their pipelines",Nilesh Patel,International Finance Corporation,0.0,Unknown,2021,technology
Phool.Co,2017,Kanpur,renewables environment,flowercycling technologies to upcycle cellulose waste and specialises in manufacturing charcoal-free incense and other wellness products,Ankit Agarwal,"Alia Bhatt, Ian Fund, Social Alpha, Draper Richards Kaplan Foundation",0.0,Unknown,2021,renewable energy
Twin Health,2018,Chennai,health wellness fitness,twin health invented the whole body digital twin™ to help reverse and prevent chronic metabolic diseases.,Jahangir Mohammed,"Sequoia Capital India, Iconiq Capital, Perceptive Advisors",140000000.0,Series C,2021,technology
Trica,2021,Mumbai,equity management,powering private markets - a technology platform for startups and investors.,Nimesh Kampani,Letsventure,3000000.0,Seed,2021,technology
Mhealth,2020,New Delhi,health wellness fitness,mhealth  is ai based corporate wellness platform  to spread happiness & well-being,"Rajesh Munjal, Balwinder Singh, Monika Garg",India Accelerator,0.0,Seed,2021,technology
Rebel Foods,2011,Mumbai,cloud kitchen,"world’s largest internet restaurant company. building unique, memorable, delightful & sure delivery-only restaurants.","Jaydeep Barman, Kallol Banerjee.",Qatar Investment Authority,175000000.0,Series F,2021,technology
Profitwheel,2020,Mumbai,marketing advertising,profitwheel's belief is that only a fraction of customers drive the most profitability for a brand - and we want to help increase their high value customer base.,"Vivek Bhargava, Gautam Mehra, Aman Khanna","Netcore Cloud, Vallabh Bhansali, Jimmy Mahtani",3000000.0,Seed,2021,technology
Log 9 Materials,2014,Bangalore,nanotechnology,log9 materials is on a mission to make global energy 100% clean.,Akshay Singhal,Petronas Ventures,2000000.0,Unknown,2021,technology
Chingari,2018,Bangalore,entertainment,"chingari - bharat ka super entertainment app. a unique and fun short video app, can create interesting videos and share them with the world.",Sumit Ghosh,Solana,19000000.0,Unknown,2021,technology
